Person_ID,Crash_Date,Crash_Location,Victim,Crash_Circumstances,Longitude,Latitude,Location
O1933974,2024-10-23 12:09:00,200 E GARFIELD BLVD,MOTORCYCLIST,"unit 1, traveling at a high rate of speed, disregarded traffic signal and struck unit 2. unit 2 driver died.",-87.62076815,41.7948339,POINT (-87.62076815 41.7948339)
P426435,2024-10-14 01:00:00,3500 S MICHIGAN AVE,PASSENGER,"unit 1, driving under the influence, disregarded traffic signal at a high rate of speed and struck unit 2. unit 2 driver and passenger died.",-87.62340212,41.83097013,POINT (-87.62340212 41.83097013)
O1950362,2024-11-16 00:00:00,4230 S PULASKI RD,DRIVER,unit 1 and unit 2 collided in the intersection at a high rate of speed. unit 2 driver died.,-87.72402863,41.81599324,POINT (-87.72402863 41.81599324)
P429535,2024-11-03 01:46:00,4431 N DUSABLE LAKE SHORE DRIVE NB,PASSENGER,driver under the influence struck a pole at a high rate of speed. one passenger died.,-87.64627129,41.96279757,POINT (-87.64627129 41.96279757)
P428408,2024-10-27 01:40:00,4530 W 26TH ST,PASSENGER,"driver, under the influence, lost control while traveling at a high rate of speed and flipped the vehicle. one passenger died.",-87.73786356,41.84417523,POINT (-87.73786356 41.84417523)
P430462,2024-11-09 03:10:00,5010 S DUSABLE LAKE SHORE DR SB,PASSENGER,unit 1 drove in the opposite direction of traffic on lsd and struck unit 2 into unit 3. unit 1 driver and one unit 2 passenger died.,-87.58238901,41.80402196,POINT (-87.58238901 41.80402196)
UNK,2024-10-18 13:32:00,6851 S ASHLAND AVE,PEDESTRIAN,left-turning driver struck pedestrian in crosswalk.,-87.66389821,41.76846024,POINT (-87.66389821 41.76846024)
O1957342,2024-11-25 23:26:00,3800 W COLUMBUS AVE,PEDESTRIAN,driver struck pedestrian in roadway.,-87.71685229,41.73937943,POINT (-87.71685229 41.73937943)
O1953664,2024-11-20 18:59:00,6001 S STATE ST,DRIVER,"unit 1, a stolen vehicle traveling at a high rate of speed, disregarded traffic signal and struck units 2 and 3 at intersection. unit 2 driver died.",-87.62531632,41.78544814,POINT (-87.62531632 41.78544814)
O1867282,2024-07-20 04:00:00,4000 W 26TH ST,DRIVER,unit 1 disregarded traffic signal and struck unit 2. unit 1 driver died.,-87.72461414,41.84436482,POINT (-87.72461414 41.84436482)
O1748281,2024-01-26 12:05:00,128 W 87TH ST,DRIVER,unit 1 driver undergoing medical emergency and struck unit 2. unit 2 driver died from injuries.,-87.62787708,41.73615595,POINT (-87.62787708 41.73615595)
O1784869,2024-03-26 07:40:00,11001 S HALSTED ST,DRIVER,unit 1 driver rear ended unit 2 then struck light pole. unit 1 driver died.,-87.7670657,41.95329285,POINT (-87.7670657 41.95329285)
O1755958,2024-02-08 16:52:00,4359 S PULASKI RD,PEDESTRIAN,driver struck pedestrian in crosswalk.,-87.72364893,41.81346065,POINT (-87.72364893 41.81346065)
O1827170,2024-05-25 12:00:00,3248 W 87TH ST,MOTORCYCLIST,unit 1 failed to yield to oncoming unit 2 while crossing the street. unit 2 driver died.,-87.70345991,41.73527482,POINT (-87.70345991 41.73527482)
P414105,2024-07-27 02:10:00,4300 W LAKE ST,PASSENGER,"unit 1, driving recklessly, struck unit 2. two unit 1 passengers died.",-87.73329708,41.88600052,POINT (-87.73329708 41.88600052)
O1918328,2024-09-07 03:25:00,6600 N LIGHTFOOT AVE,DRIVER,driver drove on opposite side of the road and struck a tree at a high rate of speed.,-87.77574753,42.00164092,POINT (-87.77574753 42.00164092)
O1797598,2024-04-14 19:13:00,5501 S PULASKI RD,MOTORCYCLIST,left turning unit 1 driver failed to yield to oncoming motorcyclist,-87.723,41.79316,POINT (-87.723 41.79316)
O1811592,2024-05-05 01:10:00,2200 E 95TH ST,DRIVER,unit 1 drove on opposite side of road attempting to pass left-turning unit 2. unit 1 driver died.,-87.57046911,41.72263897,POINT (-87.57046911 41.72263897)
2417408,2024-10-05 00:11:00,600 S HOMAN AVE,PEDESTRIAN,"unit 1, traveling at a high rate of speed, struck pedestrian at intersection causing them to land on the hood of unit 3.",-87.71092787,41.87358175,POINT (-87.71092787 41.87358175)
O1835626,2024-06-05 17:26:00,630 W ROSCOE ST,PEDESTRIAN,left-turning unit 1 struck pedestrian in crosswalk.,-87.64576846,41.94378263,POINT (-87.64576846 41.94378263)
